CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
760.0,France,Male,38.0,6.0,0.0,1.0,0.0,0.0,116683.2
634.0,France,Female,24.0,4.0,0.0,1.0,1.0,0.0,178822.34
758.0,France,Female,29.0,7.0,0.0,2.0,1.0,0.0,70774.97
681.0,Spain,Female,32.0,0.0,0.0,2.0,1.0,1.0,185561.89
703.0,France,Male,33.0,1.0,0.0,2.0,0.0,0.0,187985.85
662.0,France,Male,39.0,7.0,0.0,2.0,1.0,1.0,162599.51
589.0,Spain,Male,47.0,7.0,0.0,2.0,1.0,1.0,176903.35
675.0,Spain,Female,57.0,8.0,0.0,1.0,0.0,1.0,131660.31
644.0,Spain,Male,42.0,10.0,0.0,2.0,1.0,1.0,131919.48
496.0,France,Male,29.0,2.0,0.0,2.0,0.0,1.0,90591.15
634.0,Spain,Male,55.0,5.0,0.0,1.0,1.0,0.0,117632.63
596.0,France,Male,42.0,1.0,0.0,2.0,1.0,0.0,156792.89
758.0,France,Male,33.0,3.0,0.0,2.0,1.0,1.0,86410.28
656.0,France,Male,43.0,3.0,0.0,1.0,0.0,0.0,168034.9
651.0,France,Male,38.0,3.0,0.0,2.0,1.0,0.0,167036.94
605.0,France,Male,28.0,0.0,0.0,2.0,1.0,1.0,598.8
592.0,Germany,Female,36.0,9.0,127637.92,1.0,1.0,1.0,63737.19
644.0,France,Male,36.0,7.0,0.0,2.0,1.0,1.0,101240.08
663.0,Spain,Male,31.0,5.0,0.0,2.0,1.0,0.0,104786.59
705.0,Germany,Male,34.0,0.0,82497.05,1.0,1.0,1.0,82543.94
616.0,Spain,Male,42.0,10.0,0.0,1.0,1.0,0.0,137916.49
641.0,France,Male,66.0,5.0,0.0,1.0,1.0,0.0,168023.6
686.0,Spain,Male,52.0,4.0,125832.2,1.0,1.0,0.0,163516.16
693.0,France,Male,32.0,4.0,0.0,2.0,1.0,1.0,103379.31
610.0,France,Male,37.0,10.0,62400.48,1.0,1.0,1.0,95611.47
678.0,Spain,Female,43.0,5.0,0.0,2.0,1.0,1.0,134901.56
745.0,France,Female,36.0,3.0,0.0,2.0,1.0,1.0,184318.74
707.0,Germany,Female,35.0,2.0,126817.65,1.0,1.0,0.0,147521.35
583.0,Germany,Female,35.0,6.0,89750.21,2.0,1.0,0.0,177772.03
773.0,Germany,Male,46.0,8.0,95675.62,1.0,1.0,0.0,110776.01
621.0,Germany,Female,52.0,1.0,115743.6,3.0,1.0,0.0,142514.66
559.0,France,Male,48.0,1.0,0.0,1.0,0.0,1.0,183487.98
479.0,Spain,Female,38.0,3.0,0.0,2.0,1.0,0.0,154767.34
581.0,France,Male,35.0,2.0,0.0,2.0,1.0,0.0,87071.18
667.0,France,Male,57.0,4.0,0.0,2.0,1.0,1.0,153786.46
684.0,France,Male,37.0,1.0,129855.32,1.0,1.0,0.0,93881.75
633.0,Germany,Female,50.0,1.0,128751.65,1.0,0.0,1.0,166468.21
731.0,Spain,Female,32.0,8.0,143656.55,1.0,1.0,0.0,61931.21
739.0,Spain,Male,37.0,7.0,0.0,1.0,1.0,1.0,179861.79
719.0,France,Female,36.0,6.0,0.0,2.0,1.0,0.0,126511.94
730.0,France,Male,28.0,5.0,0.0,2.0,1.0,0.0,174098.28
573.0,Spain,Male,33.0,2.0,122453.97,1.0,1.0,1.0,93873.65
749.0,Spain,Male,29.0,2.0,0.0,1.0,1.0,1.0,176903.35
697.0,Germany,Male,50.0,8.0,121405.04,1.0,1.0,0.0,169862.01
850.0,Spain,Female,38.0,7.0,0.0,2.0,0.0,1.0,93881.85
679.0,France,Male,29.0,5.0,0.0,2.0,1.0,1.0,86977.53
838.0,Germany,Male,37.0,5.0,102282.61,1.0,1.0,0.0,177065.24
735.0,France,Male,40.0,3.0,0.0,1.0,1.0,1.0,133086.45
559.0,France,Male,50.0,5.0,88798.34,1.0,0.0,0.0,176943.59
709.0,France,Female,34.0,7.0,0.0,2.0,1.0,1.0,193995.37
644.0,France,Male,26.0,4.0,0.0,1.0,1.0,1.0,179634.69
731.0,France,Male,33.0,7.0,0.0,2.0,1.0,0.0,113051.57
529.0,France,Male,29.0,0.0,145731.83,1.0,1.0,1.0,131284.93
721.0,Spain,Male,45.0,10.0,0.0,2.0,1.0,1.0,121541.51
724.0,France,Male,34.0,3.0,0.0,2.0,1.0,0.0,49506.82
727.0,Germany,Female,31.0,5.0,160680.41,1.0,1.0,1.0,162763.01
679.0,France,Female,37.0,9.0,160599.06,1.0,1.0,0.0,145700.22
643.0,Germany,Male,43.0,6.0,78829.53,2.0,0.0,1.0,92708.1
684.0,France,Female,39.0,8.0,0.0,2.0,1.0,0.0,126743.33
605.0,France,Male,40.0,4.0,0.0,2.0,1.0,1.0,126796.69
753.0,Spain,Male,41.0,5.0,164902.43,1.0,1.0,1.0,61164.45
584.0,France,Male,39.0,7.0,0.0,2.0,1.0,1.0,131097.9
646.0,France,Male,67.0,1.0,0.0,2.0,1.0,1.0,157553.98
684.0,France,Female,28.0,6.0,0.0,2.0,0.0,0.0,167033.83
756.0,Spain,Female,43.0,2.0,0.0,2.0,0.0,0.0,145937.99
628.0,Spain,Male,32.0,9.0,0.0,1.0,1.0,1.0,101273.23
733.0,Germany,Female,27.0,9.0,145081.73,2.0,0.0,0.0,79812.77
608.0,France,Female,41.0,0.0,68881.59,1.0,1.0,0.0,131647.31
681.0,France,Female,43.0,2.0,0.0,2.0,1.0,0.0,164064.44
516.0,France,Male,21.0,5.0,0.0,2.0,1.0,0.0,143301.49
684.0,Germany,Female,40.0,4.0,106901.42,1.0,1.0,1.0,25881.0
526.0,Spain,Male,31.0,5.0,0.0,2.0,1.0,0.0,102515.43
703.0,Germany,Female,46.0,4.0,124495.98,1.0,0.0,0.0,160828.98
594.0,Spain,Female,40.0,3.0,0.0,2.0,1.0,0.0,128882.66
850.0,France,Male,39.0,1.0,0.0,2.0,0.0,0.0,147720.27
567.0,Spain,Female,34.0,7.0,88815.76,1.0,1.0,0.0,64511.44
592.0,France,Female,40.0,6.0,0.0,2.0,1.0,0.0,134483.07
753.0,Spain,Male,39.0,6.0,0.0,2.0,1.0,1.0,164040.94
554.0,France,Female,28.0,2.0,124601.58,1.0,1.0,1.0,167522.19
685.0,France,Male,42.0,6.0,0.0,2.0,1.0,1.0,13054.25
635.0,France,Female,40.0,7.0,0.0,1.0,1.0,0.0,97767.63
593.0,France,Male,34.0,8.0,117458.51,1.0,1.0,1.0,90106.94
649.0,Germany,Male,34.0,9.0,108465.65,2.0,1.0,0.0,81778.72
591.0,France,Male,58.0,2.0,0.0,1.0,0.0,0.0,132404.64
579.0,Germany,Female,35.0,2.0,97338.19,1.0,0.0,0.0,131919.48
639.0,France,Female,43.0,4.0,0.0,1.0,1.0,0.0,158313.87
721.0,France,Female,46.0,2.0,0.0,2.0,0.0,0.0,78650.95
675.0,France,Female,47.0,2.0,0.0,2.0,0.0,1.0,151325.24
645.0,France,Male,34.0,7.0,0.0,2.0,0.0,1.0,142754.71
649.0,Spain,Male,38.0,7.0,0.0,2.0,0.0,0.0,128528.83
652.0,France,Male,34.0,10.0,0.0,1.0,1.0,0.0,177670.57
611.0,Germany,Female,34.0,10.0,139859.54,1.0,1.0,1.0,25803.59
749.0,France,Female,54.0,4.0,95741.75,1.0,1.0,0.0,94780.8
605.0,Spain,Female,29.0,6.0,0.0,2.0,1.0,1.0,152298.28
685.0,Germany,Male,33.0,1.0,90920.75,2.0,0.0,1.0,109029.72
683.0,France,Female,35.0,3.0,0.0,2.0,1.0,0.0,171463.83
635.0,Spain,Female,38.0,4.0,0.0,2.0,1.0,0.0,161476.56
661.0,France,Male,32.0,7.0,0.0,2.0,0.0,0.0,150944.31
651.0,France,Female,31.0,3.0,0.0,2.0,1.0,0.0,161241.65
724.0,Spain,Male,41.0,7.0,113943.26,1.0,1.0,0.0,153042.2
633.0,France,Female,29.0,5.0,0.0,2.0,0.0,1.0,113810.12
644.0,France,Female,33.0,5.0,0.0,2.0,1.0,1.0,51721.52
679.0,Germany,Female,35.0,8.0,97925.11,1.0,1.0,0.0,163698.28
636.0,Spain,Male,44.0,4.0,0.0,1.0,1.0,0.0,52404.47
667.0,Germany,Male,44.0,0.0,142989.69,1.0,0.0,0.0,18082.06
665.0,France,Male,41.0,7.0,126473.99,1.0,1.0,0.0,58976.85
696.0,Spain,Male,43.0,2.0,0.0,2.0,1.0,0.0,131662.47
705.0,France,Female,40.0,2.0,0.0,2.0,1.0,0.0,78650.95
682.0,France,Male,33.0,3.0,0.0,2.0,1.0,0.0,176768.59
637.0,Germany,Female,60.0,1.0,122528.18,1.0,1.0,0.0,148516.79
528.0,France,Female,46.0,6.0,139825.34,1.0,0.0,0.0,179964.55
850.0,France,Male,32.0,3.0,89364.91,1.0,1.0,1.0,91830.75
656.0,France,Male,28.0,9.0,0.0,2.0,0.0,1.0,107876.91
679.0,France,Male,37.0,8.0,0.0,2.0,1.0,0.0,138880.24
642.0,France,Male,36.0,7.0,0.0,2.0,1.0,0.0,96985.58
686.0,France,Female,33.0,9.0,130229.71,2.0,0.0,1.0,92817.54
642.0,France,Male,36.0,9.0,0.0,2.0,1.0,1.0,116977.89
693.0,France,Male,33.0,3.0,0.0,2.0,1.0,0.0,181224.56
598.0,Spain,Male,46.0,4.0,0.0,2.0,1.0,1.0,176924.21
584.0,France,Male,40.0,9.0,0.0,1.0,1.0,0.0,103712.05
639.0,Germany,Male,48.0,0.0,141819.02,1.0,1.0,0.0,48962.58
744.0,Spain,Female,39.0,2.0,96462.54,1.0,1.0,0.0,138526.96
709.0,France,Male,46.0,9.0,0.0,2.0,1.0,1.0,160948.87
730.0,Spain,Male,44.0,9.0,152462.79,1.0,1.0,0.0,146511.2
769.0,Germany,Female,59.0,4.0,98899.91,1.0,1.0,0.0,26149.25
520.0,France,Male,29.0,5.0,0.0,2.0,1.0,0.0,159800.16
828.0,France,Male,21.0,8.0,0.0,1.0,1.0,1.0,118862.08
621.0,Germany,Male,33.0,6.0,107720.64,2.0,1.0,0.0,80963.92
684.0,France,Female,29.0,1.0,121626.9,1.0,1.0,1.0,125083.29
594.0,Spain,Male,28.0,1.0,108891.3,1.0,0.0,1.0,187905.12
684.0,France,Male,44.0,2.0,0.0,2.0,0.0,0.0,46824.08
757.0,Spain,Male,46.0,6.0,0.0,2.0,1.0,1.0,65765.22
667.0,France,Male,53.0,9.0,0.0,1.0,1.0,1.0,65147.27
714.0,Spain,Male,36.0,4.0,0.0,2.0,0.0,1.0,131806.44
739.0,France,Male,28.0,4.0,0.0,2.0,1.0,0.0,84760.32
573.0,Germany,Female,53.0,2.0,157812.26,1.0,1.0,0.0,179626.68
622.0,France,Female,41.0,3.0,0.0,1.0,1.0,1.0,89520.75
554.0,Spain,Female,32.0,9.0,0.0,2.0,1.0,0.0,1795.93
724.0,France,Male,33.0,5.0,0.0,2.0,1.0,1.0,130567.02
545.0,France,Male,38.0,2.0,0.0,2.0,1.0,1.0,118545.49
681.0,France,Male,39.0,4.0,0.0,2.0,1.0,1.0,137476.71
667.0,Spain,Female,50.0,4.0,0.0,1.0,1.0,1.0,78310.04
663.0,France,Male,27.0,7.0,0.0,2.0,1.0,0.0,123882.73
632.0,France,Male,61.0,4.0,0.0,2.0,1.0,1.0,61324.87
699.0,Germany,Male,33.0,2.0,121389.78,1.0,1.0,0.0,26116.82
637.0,France,Male,43.0,9.0,0.0,2.0,1.0,1.0,95985.64
585.0,Germany,Female,48.0,2.0,102741.15,1.0,0.0,0.0,133086.45
662.0,Germany,Male,44.0,1.0,139972.18,1.0,0.0,0.0,116511.12
637.0,Germany,Female,38.0,0.0,120530.21,1.0,0.0,1.0,158891.79
671.0,France,Male,33.0,7.0,0.0,2.0,1.0,1.0,154486.01
682.0,France,Male,42.0,5.0,0.0,1.0,1.0,0.0,79259.67
461.0,France,Female,51.0,1.0,0.0,1.0,1.0,0.0,139946.68
685.0,France,Male,40.0,10.0,0.0,1.0,1.0,0.0,38196.24
707.0,France,Female,39.0,1.0,0.0,1.0,1.0,1.0,91565.25
711.0,France,Male,37.0,8.0,0.0,2.0,1.0,1.0,80410.68
615.0,France,Female,42.0,5.0,0.0,1.0,1.0,1.0,62002.04
792.0,France,Male,38.0,1.0,0.0,2.0,0.0,0.0,176883.42
543.0,Germany,Male,30.0,9.0,108546.71,2.0,1.0,1.0,645.61
583.0,France,Male,31.0,1.0,96863.52,1.0,1.0,1.0,136910.19
681.0,France,Male,36.0,3.0,0.0,2.0,1.0,0.0,141031.08
703.0,France,Female,46.0,5.0,0.0,1.0,1.0,0.0,158032.5
758.0,France,Male,35.0,3.0,0.0,2.0,1.0,1.0,88890.75
607.0,Spain,Female,39.0,3.0,0.0,2.0,1.0,1.0,71492.28
683.0,Spain,Female,36.0,6.0,0.0,2.0,0.0,1.0,121085.72
588.0,France,Male,58.0,7.0,0.0,2.0,1.0,1.0,121537.91
678.0,France,Male,40.0,1.0,141947.67,1.0,1.0,0.0,179634.69
809.0,France,Male,37.0,2.0,0.0,1.0,1.0,0.0,161051.75
507.0,France,Male,25.0,0.0,0.0,2.0,1.0,0.0,125240.8
592.0,Spain,Male,31.0,3.0,93817.33,1.0,1.0,1.0,174094.24
687.0,France,Female,36.0,5.0,0.0,2.0,1.0,1.0,19283.14
724.0,France,Male,29.0,5.0,0.0,2.0,1.0,1.0,180800.42
794.0,France,Female,36.0,7.0,103097.85,1.0,1.0,1.0,151871.84
651.0,France,Female,50.0,9.0,0.0,1.0,1.0,0.0,172363.41
579.0,France,Male,71.0,4.0,0.0,2.0,1.0,1.0,35786.76
625.0,France,Female,29.0,10.0,0.0,2.0,1.0,0.0,115676.61
678.0,Germany,Male,59.0,9.0,134571.5,1.0,1.0,1.0,19842.11
641.0,France,Female,39.0,3.0,0.0,2.0,0.0,1.0,187800.63
717.0,France,Female,30.0,1.0,0.0,1.0,1.0,1.0,106977.53
687.0,France,Male,34.0,3.0,0.0,1.0,1.0,0.0,105525.36
596.0,France,Male,39.0,2.0,0.0,2.0,1.0,1.0,86587.37
682.0,France,Male,41.0,9.0,0.0,2.0,1.0,1.0,142223.94
731.0,France,Female,42.0,5.0,0.0,2.0,1.0,1.0,142995.32
571.0,Germany,Female,44.0,5.0,127785.24,1.0,1.0,1.0,184842.21
632.0,Spain,Female,28.0,8.0,0.0,1.0,1.0,1.0,667.66
664.0,France,Female,31.0,5.0,0.0,2.0,1.0,1.0,57553.98
745.0,Germany,Male,35.0,3.0,139858.53,2.0,1.0,1.0,180769.55
634.0,Germany,Female,38.0,0.0,121537.71,1.0,0.0,0.0,45438.73
573.0,France,Male,33.0,2.0,0.0,2.0,0.0,0.0,147545.65
742.0,France,Male,33.0,9.0,0.0,2.0,1.0,1.0,199273.98
710.0,Germany,Male,34.0,2.0,137780.74,2.0,1.0,1.0,162858.29
686.0,Spain,Male,34.0,2.0,0.0,2.0,0.0,1.0,162760.96
569.0,Spain,Male,37.0,3.0,132598.38,1.0,1.0,1.0,1643.11
661.0,France,Male,38.0,7.0,0.0,2.0,1.0,0.0,110782.88
628.0,Spain,Female,23.0,6.0,0.0,2.0,0.0,0.0,176913.42
571.0,Spain,Male,67.0,1.0,62389.03,1.0,1.0,1.0,127569.8
686.0,Spain,Male,42.0,7.0,0.0,2.0,1.0,1.0,158845.49
689.0,Spain,Male,48.0,9.0,105355.76,1.0,1.0,0.0,142367.71
679.0,France,Male,42.0,9.0,0.0,2.0,0.0,1.0,162501.83
516.0,France,Male,29.0,6.0,0.0,2.0,1.0,1.0,95957.09
748.0,Germany,Male,42.0,1.0,103399.13,1.0,1.0,0.0,170518.83
473.0,France,Female,34.0,2.0,0.0,2.0,1.0,0.0,115818.51
516.0,Spain,Male,40.0,8.0,0.0,2.0,1.0,0.0,28370.95
671.0,France,Male,38.0,8.0,0.0,2.0,0.0,0.0,115638.29
707.0,Spain,Female,37.0,3.0,128876.65,1.0,1.0,0.0,72402.0
713.0,Germany,Male,43.0,8.0,108465.65,1.0,1.0,1.0,167984.72
721.0,Spain,Male,52.0,9.0,0.0,1.0,1.0,0.0,158750.21
645.0,France,Male,45.0,3.0,0.0,2.0,1.0,0.0,94815.04
679.0,France,Male,32.0,4.0,0.0,1.0,1.0,1.0,82526.92
573.0,France,Male,34.0,7.0,0.0,2.0,1.0,0.0,109988.09
719.0,Germany,Male,38.0,3.0,112896.86,2.0,1.0,0.0,72350.47
712.0,Spain,Female,40.0,6.0,0.0,1.0,1.0,0.0,90877.76
756.0,France,Female,38.0,3.0,0.0,2.0,1.0,0.0,102085.29
676.0,France,Female,24.0,5.0,0.0,2.0,1.0,0.0,168023.6
554.0,France,Male,46.0,1.0,0.0,1.0,1.0,0.0,44965.44
769.0,Spain,Male,35.0,2.0,170840.08,1.0,1.0,1.0,145562.4
592.0,France,Male,41.0,8.0,0.0,2.0,0.0,1.0,138360.29
669.0,France,Male,26.0,6.0,0.0,2.0,1.0,0.0,142400.27
629.0,Germany,Female,54.0,1.0,118858.05,1.0,1.0,0.0,51554.58
738.0,Spain,Male,36.0,7.0,0.0,2.0,1.0,1.0,128881.87
675.0,France,Male,28.0,1.0,127120.62,1.0,1.0,1.0,166038.27
652.0,Germany,Male,39.0,3.0,123544.0,2.0,1.0,1.0,73562.05
653.0,France,Male,32.0,6.0,0.0,2.0,1.0,1.0,117038.96
604.0,France,Female,32.0,7.0,0.0,2.0,1.0,1.0,105736.64
595.0,Germany,Female,41.0,6.0,125837.86,1.0,0.0,0.0,174434.06
516.0,Spain,Female,52.0,1.0,0.0,1.0,1.0,0.0,120512.08
793.0,France,Male,47.0,8.0,0.0,2.0,1.0,1.0,62944.75
667.0,Germany,Male,33.0,2.0,121513.31,1.0,1.0,1.0,142783.98
727.0,Germany,Male,46.0,1.0,121558.46,2.0,1.0,0.0,91830.75
632.0,Germany,Female,36.0,2.0,126732.85,2.0,1.0,1.0,158887.08
553.0,France,Male,41.0,6.0,0.0,2.0,1.0,0.0,86410.28
699.0,France,Female,37.0,4.0,101629.3,1.0,1.0,1.0,89048.46
582.0,Germany,Male,62.0,7.0,94438.47,2.0,1.0,1.0,103726.71
682.0,France,Male,45.0,4.0,0.0,2.0,1.0,1.0,131919.48
523.0,France,Female,32.0,7.0,0.0,2.0,1.0,1.0,168080.53
598.0,France,Female,37.0,2.0,89111.63,1.0,0.0,1.0,77876.84
597.0,Spain,Male,44.0,6.0,96498.57,1.0,1.0,1.0,19370.73
645.0,France,Male,44.0,9.0,95286.26,1.0,1.0,0.0,181207.66
750.0,Germany,Female,33.0,5.0,116937.09,1.0,1.0,1.0,176943.59
730.0,France,Male,26.0,6.0,0.0,2.0,1.0,1.0,94898.1
679.0,France,Female,39.0,9.0,0.0,2.0,1.0,1.0,179634.69
678.0,France,Female,41.0,3.0,0.0,2.0,0.0,1.0,151623.71
628.0,France,Male,36.0,7.0,0.0,2.0,1.0,1.0,56770.76
754.0,Spain,Male,27.0,3.0,0.0,2.0,1.0,1.0,67431.22
775.0,Spain,Female,35.0,8.0,0.0,2.0,1.0,1.0,125083.29
829.0,France,Male,30.0,9.0,0.0,2.0,1.0,1.0,52484.01
758.0,Spain,Female,38.0,8.0,173340.83,1.0,0.0,1.0,60941.27
714.0,France,Male,41.0,2.0,0.0,2.0,1.0,1.0,157916.44
699.0,France,Male,57.0,9.0,0.0,2.0,1.0,1.0,140765.25
580.0,Germany,Male,44.0,1.0,120599.21,1.0,1.0,1.0,75884.65
628.0,France,Male,33.0,8.0,127637.92,2.0,1.0,1.0,140941.47
661.0,France,Male,38.0,1.0,0.0,1.0,1.0,1.0,52316.37
637.0,France,Female,49.0,5.0,0.0,3.0,1.0,0.0,158887.08
711.0,France,Male,55.0,7.0,0.0,2.0,1.0,1.0,141180.66
590.0,Spain,Female,32.0,5.0,0.0,2.0,1.0,0.0,142400.27
635.0,Spain,Male,28.0,7.0,0.0,2.0,1.0,0.0,109523.88
850.0,Germany,Female,46.0,3.0,123034.43,1.0,1.0,0.0,176750.81
776.0,Spain,Female,37.0,4.0,0.0,2.0,0.0,1.0,102220.56
629.0,Spain,Female,41.0,2.0,0.0,2.0,1.0,0.0,100442.22
593.0,France,Female,41.0,7.0,0.0,1.0,1.0,0.0,61793.47
778.0,France,Male,40.0,7.0,0.0,2.0,1.0,0.0,77906.36
708.0,Germany,Female,54.0,3.0,110939.3,1.0,1.0,0.0,143598.7
669.0,France,Male,37.0,10.0,0.0,2.0,1.0,0.0,151481.86
633.0,France,Female,32.0,6.0,0.0,2.0,1.0,1.0,122953.0
648.0,France,Male,31.0,5.0,142721.52,1.0,1.0,1.0,101704.19
695.0,France,Male,36.0,6.0,0.0,2.0,1.0,1.0,143548.24
749.0,France,Female,26.0,1.0,0.0,2.0,1.0,0.0,153036.97
756.0,France,Female,29.0,8.0,115062.57,1.0,1.0,0.0,74800.99
641.0,France,Male,41.0,5.0,81153.82,1.0,1.0,1.0,162858.29
694.0,France,Male,26.0,1.0,0.0,2.0,1.0,0.0,176984.34
711.0,Spain,Male,31.0,8.0,0.0,2.0,1.0,1.0,52862.88
824.0,France,Female,33.0,4.0,0.0,2.0,1.0,1.0,102945.58
775.0,Spain,Female,35.0,5.0,0.0,2.0,0.0,1.0,199402.41
590.0,France,Female,45.0,0.0,0.0,1.0,1.0,0.0,56780.97
576.0,France,Male,28.0,6.0,0.0,2.0,1.0,0.0,152577.62
704.0,France,Male,34.0,2.0,0.0,2.0,0.0,0.0,86957.42
696.0,France,Female,50.0,8.0,0.0,1.0,1.0,0.0,172618.52
744.0,France,Female,35.0,5.0,0.0,2.0,1.0,0.0,78854.57
668.0,France,Male,30.0,4.0,0.0,2.0,1.0,0.0,94767.77
850.0,Spain,Male,38.0,0.0,0.0,2.0,1.0,1.0,9241.78
607.0,Germany,Male,49.0,9.0,130181.04,1.0,0.0,0.0,149853.89
579.0,France,Female,43.0,2.0,0.0,1.0,1.0,1.0,93629.66
732.0,Spain,Female,46.0,8.0,0.0,2.0,1.0,1.0,180197.74
682.0,France,Female,46.0,9.0,0.0,2.0,1.0,0.0,56770.76
693.0,Spain,Male,42.0,6.0,116932.59,1.0,0.0,0.0,80701.72
641.0,Spain,Male,25.0,8.0,0.0,2.0,1.0,0.0,155721.15
572.0,France,Male,34.0,4.0,0.0,1.0,1.0,1.0,168816.22
704.0,Spain,Female,33.0,2.0,0.0,2.0,0.0,1.0,83629.6
634.0,France,Male,32.0,9.0,0.0,2.0,1.0,0.0,122268.75
